Gene name	max length	read count	rpkm	IDs
ABCB1	4569	12	0.1408451	NM_001348946,NM_001348945,NM_000927,NM_001348944
ABCB10	3857	733	10.19145	NM_012089
ABCB11	4775	0	0	NM_003742
ABCB4	3988	95	1.277468	NM_000443,NM_018850,NM_018849
ABCB5	1724	0	0	NM_001163942,NM_178559,NM_001163941,NM_001163993
ABCB6	3018	334	5.934839	NM_005689
ABCB7	2525	268	5.691872	NM_004299,NM_001271699,NM_001271698,NM_001271697,NM_001271696
ABCB8	4684	612	7.006743	NM_001282293,NM_001282292,NM_001282291,NM_007188
ABCB9	3401	86	1.356043	NM_019625,NM_001243013,NM_001243014,NM_203444,NM_019624
ABCC1	6563	2233	18.24601	NM_004996
ABCC10	5088	549	5.78638	NM_001198934,NM_033450
ABCC11	4576	0	0	NM_145186,NM_033151,NM_032583
ABCC12	5168	0	0	NM_033226
ABCC13	2824	0	0	NR_003088,NR_003087
ABCC2	5446	13	0.128011	NM_000392
ABCC3	5166	141	1.463681	NM_001144070,NM_003786
ABCC4	5856	901	8.250978	NM_001301830,NM_001301829,NM_001105515,NM_005845
ABCC5	2072	560	14.49372	NM_005688,NM_001320032,NM_001023587,NR_135125
ABCC5-AS1	469	0	0	NR_046570
ABCC6	5117	1	0.01048012	NM_001079528,NM_001171
ABCC6P1	2724	0	0	NR_003569
ABCC6P2	706	0	0	NR_023387
ABCC8	4921	0	0	NM_001287174,NM_000352
ABCC9	4670	382	4.386601	NM_020297,NM_005691
ABCD1	3664	281	4.112752	NM_000033
ABCD2	5341	0	0	NM_005164
ABCD3	967	1083	60.05977	NM_002858,NM_001122674
ABCD4	3157	307	5.214894	NR_003256,NM_005050
ABCE1	4191	3417	43.7229	NM_002940,NM_001040876
ABCF1	3350	1863	29.82289	NM_001025091,NM_001025091,NM_001025091,NM_001090,NM_001090,NM_001090,NM_001090,NM_001025091,NM_001025091,NM_001090,NM_001025091,NM_001090,NM_001025091,NM_001090
ABCF2	4696	1958	22.35972	NM_005692,NM_007189
ABCF3	2572	1079	22.49739	NM_018358
ABCG1	3037	0	0	NM_004915,NM_207627,NM_207174,NM_207629,NM_016818,NM_207628
ABCG2	4580	13	0.1522157	NM_004827,NM_001348989,NM_001348988,NM_001348987,NM_001348986,NM_001348985,NM_001257386
ABCG4	3611	2	0.0297019	NM_022169,NM_001348192,NM_001348191,NM_001142505
ABCG5	2740	0	0	NM_022436
ABCG8	2665	0	0	NM_022437
ABHD1	1446	1	0.03708629	NM_032604
ABHD10	2570	584	12.18601	NM_001272069,NM_018394,NR_073571,NR_073570
ABHD11	1421	210	7.925139	NM_001301058,NM_001321382,NM_148913,NM_001145364,NR_026912,NM_148912,NM_001321383,NR_135627
ABHD11-AS1	473	1	0.1133759	NR_026690
ABHD12	1724	1269	39.47354	NM_001042472,NM_015600
ABHD12B	1580	1	0.033941	NM_181814,NM_001206673,NM_181533
ABHD13	5302	411	4.157036	NM_032859
ABHD14A	1108	65	3.145975	NM_015407
ABHD14A-ACY1	1879	60	1.712404	NM_001316331
ABHD14B	2437	513	11.28869	NM_001146314,NM_001254753,NM_032750
ABHD15	3355	319	5.098939	NM_198147
ABHD16A	2270	369	8.717304	NM_001177515,NM_021160,NR_033488,NM_001177515,NR_033488,NM_021160,NM_021160,NM_021160,NM_001177515,NM_001177515,NR_033488,NM_001177515,NM_001177515,NM_001177515,NM_021160,NR_033489,NR_033489,NM_021160,NM_021160,NR_033489,NR_033489,NR_033489,NR_033489,NR_033489,NR_033488,NR_033488,NR_033488,NR_033488
ABHD16B	1776	52	1.570153	NM_080622
ABHD17A	1563	793	27.20795	NM_031213,NM_001130111
ABHD17B	3117	373	6.41732	NM_016014,NM_001025780
ABHD17C	2360	487	11.0662	NM_021214
ABHD18	5560	102	0.9838006	NM_001319307,NM_001319305,NM_001319306
ABHD2	8735	2709	16.63136	NM_007011,NM_152924
ABHD3	2064	145	3.767385	NM_001308257,NM_001308256,NM_138340
ABHD4	2509	405	8.656375	NM_022060
ABHD5	5353	845	8.465277	NM_016006
ABHD6	2490	241	5.190383	NM_020676,NM_001320126
ABHD8	2090	182	4.669891	NM_024527
ABI1	3725	1693	24.37319	NM_001012751,NM_001178125,NM_001178121,NM_001012752,NM_001348034,NM_001348033,NR_145410,NM_001178120,NM_001348032,NM_001348031,NM_001348030,NM_001348029,NM_001178122,NM_001178124,NM_001178119,NM_001178123,NM_001012750,NM_001178116,NM_005470
ABI2	6621	977	7.913209	NM_001282925,NM_001282927,NM_001282932,NM_005759,NM_001282926
ABI3	2091	2	0.05129295	NM_016428,NM_001135186
ABI3BP	6414	662	5.534912	NM_015429,NM_001349332,NM_001349331,NM_001349330,NM_001349329
ABL1	5577	3654	35.13578	NM_007313,NM_005157
ABL2	11918	3802	17.10765	NM_001136000,NM_001168238,NM_005158,NM_001136001,NM_001168239,NM_001168236,NM_007314,NM_001168237
ABLIM1	6635	48	0.3879556	NM_006720,NM_001322883,NM_001322882,NM_001322884,NM_001322885,NM_001322886,NM_001322887,NM_001322888,NM_001322889,NM_001003408,NM_001322891,NM_001322892,NM_001322893,NM_001322894,NM_002313,NM_001322895,NM_001322896,NM_001322890,NM_001322897,NM_001003407,NM_001322900,NM_001322898,NM_001322899
ABLIM2	3389	0	0	NM_001286688,NM_001130083,NM_001130088,NM_001130084,NM_001130087,NM_001130085,NM_001130086,NM_032432
ABLIM3	4450	827	9.966145	NM_014945,NM_001345860,NM_001345859,NM_001301027,NM_001345858,NM_001301018,NM_001301028,NM_001301015,NM_001345861
ABO	1579	0	0	NM_020469
ABR	5604	1928	18.44975	NM_021962,NM_001256847,NM_001322842,NM_001322841,NM_001092,NM_001282149,NM_001322840,NM_001159746
ABRA	2754	1	0.01947232	NM_139166
ABRACL	845	557	35.34925	NM_021243
ABT1	2263	417	9.881735	NM_013375
ABTB1	1941	187	5.166516	NM_032548,NM_172027,NR_033429
ABTB2	4903	335	3.664077	NM_145804
ACAA1	1540	685	23.85347	NM_001607,NR_024024,NM_001130410
ACAA2	1934	1262	34.99327	NM_006111
ACACA	9737	1808	9.957606	NM_198834,NM_198839,NM_198837,NM_198836,NM_198838
ACACB	9249	73	0.4232625	NM_001093
ACAD10	4107	287	3.747476	NM_025247,NM_001136538
ACAD11	4166	299	3.848873	NR_132428,NM_032169,NR_132427,NR_132426
ACAD8	2201	273	6.651572	NM_014384
ACAD9	2575	882	18.36847	NR_033426,NM_014049
ACADL	2490	3	0.06461057	NM_001608
ACADM	2622	739	15.11449	NM_001127328,NM_001286042,NM_001286043,NM_001286044,NM_000016
ACADS	1935	78	2.1617	NM_000017,NM_001302554
ACADSB	5941	396	3.574517	NM_001330174,NM_001609
ACADVL	2228	3015	72.56945	NM_001033859,NM_001270448,NM_000018,NM_001270447
ACAN	8543	1098	6.89245	NM_013227,NM_001135
ACAP1	2508	1	0.02138229	NM_014716
ACAP2	7170	1674	12.52039	NM_012287
ACAP3	3759	890	12.69695	NM_030649
ACAT1	2134	1228	30.85927	NM_000019
ACAT2	1551	671	23.20024	NM_001303253,NM_005891
ACBD3	3565	2117	31.84513	NM_022735
ACBD4	2722	53	1.044166	NM_024722,NM_001135705,NM_001135706,NM_001321352,NM_001321353,NM_001135707
ACBD5	4174	834	10.71508	NM_001042473,NM_001301254,NM_001301253,NM_001301252,NM_001301251,NM_145698,NM_001271512
ACBD6	1616	641	21.27151	NM_032360
ACBD7	3370	44	0.7001715	NM_001039844
ACBD7-DCLRE1CP1	997	0	0	NR_144471
ACCS	1877	62	1.771369	NM_032592,NM_001127219
ACCSL	1820	0	0	NM_001031854
ACD	2057	338	8.81179	NM_001082486,NM_001082487,NM_022914
ACE	3264	108	1.774415	NM_000789,NM_001178057,NM_152830
ACE2	3507	0	0	NM_021804
ACER1	1088	1	0.04928932	NM_133492
ACER2	2852	18	0.3384579	NM_001010887
ACER3	7378	560	4.070343	NM_001300953,NM_001300954,NM_001300955,NM_018367
ACHE	1991	2	0.05386919	NM_000665,NM_015831,NM_001302622,NM_001302621,NM_001282449
ACIN1	4898	2811	30.77682	NM_014977,NM_001164815,NM_001164816,NM_001164817,NM_001164814
ACKR1	1242	0	0	NM_002036,NM_001122951
ACKR2	2960	1	0.01811715	NM_001296
ACKR3	2100	247	6.30753	NM_020311
ACKR4	2340	1520	34.83449	NM_178445,NM_016557
ACLY	4353	8001	98.56831	NM_198830,NM_001303275,NM_001303274,NM_001096
ACMSD	1250	0	0	NM_001307983,NM_138326
ACO1	3620	1760	26.07269	NM_002197,NM_001278352
ACO2	2741	1520	29.73831	NM_001098
ACOD1	2090	0	0	NM_001258406
ACOT1	1603	136	4.549745	NM_001037161
ACOT11	3181	112	1.888148	NM_015547,NM_147161
ACOT12	1989	4	0.1078467	NM_130767
ACOT13	4104	290	3.789417	NM_001160094,NM_018473
ACOT2	1583	305	10.33239	NM_006821,NR_046028
ACOT4	1632	12	0.3943145	NM_152331
ACOT6	1004	0	0	NM_001037162
ACOT7	1414	972	36.86367	NM_181864,NM_007274,NM_181865,NM_181866
ACOT8	1171	169	7.739475	NM_005469
ACOT9	4202	1126	14.37024	NM_001033583,NM_001037171,NM_001330259
ACOX1	7758	818	5.654383	NM_004035,NM_007292,NM_001185039
ACOX2	2309	186	4.31987	NM_003500
ACOX3	2874	364	6.791979	NM_001101667,NM_003501
ACOXL	2373	0	0	NM_001142807
ACOXL-AS1	3212	0	0	NR_122074
ACP1	1580	1305	44.293	NM_007099,NM_001040649,NM_004300,NR_024080
ACP2	2116	490	12.4183	NM_001610,NM_001302492,NM_001302491,NM_001302490,NM_001302489
ACP5	1580	109	3.699569	NM_001611,NM_001322023,NM_001111034,NM_001111035,NM_001111036
ACP6	2793	64	1.228827	NR_136633,NM_016361,NR_136635,NM_001323625,NR_136634,NR_136636
ACP7	2961	35	0.6338862	NM_001004318
ACPP	3120	8	0.1375045	NM_001134194,NM_001099,NM_001292037
ACPT	1347	0	0	NM_033068
ACR	1370	0	0	NM_001097
ACRBP	1886	3	0.0853024	NM_032489
ACRV1	1175	1	0.04563981	NM_020107,NM_020108,NM_020069,NM_001612
ACSBG1	2980	9	0.1619601	NM_001199377,NM_015162
ACSBG2	2696	0	0	NM_001321384,NM_001289178,NM_030924,NM_001289177,NM_001289180,NM_001289179
ACSF2	1920	173	4.831996	NM_001288972,NM_025149,NR_110232,NM_001288968,NM_001288969,NM_001288970,NM_001288971
ACSF3	2496	318	6.832258	NM_001127214,NM_001284316,NM_174917,NM_001243279,NR_104293,NR_045667
ACSL1	3858	775	10.77262	NM_001286712,NM_001286708,NM_001286711,NM_001286710,NM_001995
ACSL3	4361	1703	20.94162	NM_203372,NM_004457
ACSL4	5333	3526	35.45622	NM_004458,NM_001318510,NM_022977,NM_001318509
ACSL5	3381	7	0.1110285	NM_203379,NM_016234,NM_203380
ACSL6	6525	0	0	NM_001205250,NM_015256,NM_001205251,NM_001009185,NM_001205247,NM_001205248
ACSM1	2051	0	0	NR_134918,NM_001318890,NM_052956
ACSM2A	3336	0	0	NM_001308172,NM_001308169,NM_001308954
ACSM2B	2406	0	0	NM_182617,NM_001105069
ACSM3	1569	10	0.3417895	NM_005622,NM_202000
ACSM4	1743	0	0	NM_001080454
ACSM5	2419	0	0	NM_001324371,NM_001324373,NM_001324372,NM_017888
ACSM6	1713	0	0	NM_207321
ACSS1	2438	74	1.62772	NM_032501,NM_001252675,NM_001252676,NM_001252677
ACSS2	3018	397	7.054285	NM_018677,NM_001242393,NM_001076552
ACSS3	4051	170	2.250445	NM_001330242,NM_024560,NM_001330243
ACTA1	1492	17	0.611029	NM_001100
ACTA2	1399	1229	47.1103	NM_001320855,NM_001141945,NM_001613
ACTA2-AS1	2043	63	1.653689	NR_125373
ACTB	1812	89289	2642.539	NM_001101
ACTBL2	2794	0	0	NM_001017992
ACTC1	3693	295	4.283753	NM_005159
ACTG1	1986	72854	1967.233	NR_037688,NM_001199954,NM_001614
ACTG1P17	1652	0	0	NR_036446
ACTG1P20	2652	16	0.3235401	NR_033926
ACTG1P4	1983	0	0	NR_024438
ACTG2	1202	13	0.5799901	NM_001615,NM_001199893
ACTL10	2028	25	0.6610796	NM_001024675
ACTL6A	1898	1339	37.83259	NM_177989,NM_178042,NM_004301
ACTL6B	1548	0	0	NM_016188,NR_134539
ACTL7A	1528	0	0	NM_006687
ACTL7B	1407	0	0	NM_006686
ACTL8	1861	1	0.02881611	NM_030812
ACTL9	1434	0	0	NM_178525
ACTN1	3710	12709	183.7042	NM_001102,NM_001130004,NM_001130005
ACTN1-AS1	599	0	0	NR_073422
ACTN2	4913	13	0.1418987	NM_001278344,NM_001278343,NM_001103
ACTN3	2939	1	0.01824661	NR_047663,NM_001258371,NM_001104
ACTN4	3951	13260	179.9775	NM_004924,NM_001322033
ACTR10	2441	1535	33.72269	NM_018477
ACTR1A	2873	3973	74.15913	NM_005736
ACTR1B	2258	789	18.7385	NM_005735
ACTR2	3922	12403	169.5902	NM_001005386,NM_005722
ACTR3	5491	9664	94.38156	NM_005721,NR_102318,NM_001277140
ACTR3B	2161	97	2.407125	NR_073001,NM_020445,NM_001040135,NR_073000
ACTR3BP2	1338	0	0	NR_027714
ACTR3BP5	1645	0	0	NR_045000
ACTR3C	1219	3	0.1319773	NM_001164458,NM_001164459
ACTR5	2479	115	2.487729	NM_024855
ACTR6	2465	439	9.55057	NR_048569,NR_048568,NM_022496
ACTR8	3628	560	8.277562	NM_022899
ACTRT1	1442	1	0.03718917	NM_138289
ACTRT2	1422	0	0	NM_080431
ACTRT3	2003	99	2.65055	NM_032487
ACVR1	2864	1326	24.8286	NM_001347663,NM_001347664,NM_001347665,NM_001347666,NM_001347667,NM_001105,NM_001111067
ACVR1B	4516	462	5.486176	NM_004302,NM_020328,NM_020327
ACVR1C	8405	34	0.2169316	NM_001111032,NM_145259,NM_001111031,NM_001111033
ACVR2A	5167	148	1.536049	NM_001616,NM_001278579,NM_001278580
ACVR2B	11373	49	0.2310483	NM_001106
ACVR2B-AS1	2517	5	0.1065292	NR_028389
ACVRL1	4126	474	6.160711	NM_000020,NM_001077401
ACY1	1678	221	7.062883	NM_001198898,NM_001198897,NM_001198895,NM_001198896,NM_000666
ACY3	1300	0	0	NM_080658
ACYP1	801	47	3.14664	NR_126393,NM_001107,NR_126395,NM_001302616,NR_126394,NM_001302617
ACYP2	1292	88	3.652598	NM_138448,NM_001320586,NM_001320587,NM_001320588,NM_001320590,NM_001320589
ADA	1486	203	7.325865	NM_001322050,NM_000022,NR_136160,NM_001322051
ADA2	3711	40	0.5780305	NM_001282229,NM_001282228,NM_001282225,NM_001282226,NM_001282227,NM_177405
ADAD1	1905	0	0	NM_139243,NM_001159295,NM_001159285
ADAD2	2058	0	0	NM_139174,NM_001145400
ADAL	1749	215	6.592199	NM_001159280,NM_001012969,NM_001324368,NM_001324367,NM_001324366,NM_001324365,NM_001324364
ADAM10	4941	6313	68.51768	NM_001110,NM_001320570
ADAM11	4419	21	0.2548455	NM_002390,NM_001318933
ADAM12	3411	3398	53.42239	NM_003474,NM_021641,NM_001288973,NM_001288974,NM_001288975
ADAM15	2864	1356	25.39033	NM_001261465,NR_048578,NR_048579,NM_207197,NM_001261466,NM_003815,NM_207196,NM_207195,NM_207194,NR_048577,NM_207191,NM_001261464
ADAM17	4381	947	11.592	NM_003183
ADAM18	2037	0	0	NM_001190956,NM_014237,NM_001320313,NR_135201
ADAM19	6529	602	4.944604	NM_033274
ADAM1A	2840	27	0.509832	NR_036636
ADAM2	2671	0	0	NM_001278113,NM_001278114,NM_001464
ADAM20	2792	0	0	NM_003814
ADAM20P1	3036	1	0.01766363	NR_037933
ADAM21	2664	5	0.1006509	NM_003813
ADAM21P1	2049	0	0	NR_003951
ADAM22	9334	39	0.2240673	NM_001324420,NM_001324419,NM_001324418,NM_001324417,NM_004194,NM_021721,NM_021722,NM_001324421,NM_021723,NM_016351
ADAM23	6225	583	5.022395	NM_003812
ADAM28	2135	0	0	NM_014265,NR_130710,NR_130709,NM_001304351,NM_021777
ADAM29	3138	1	0.01708948	NM_001278125,NM_014269,NM_001278126,NM_001278127,NM_001130703,NM_001130704,NM_001130705
ADAM30	2992	0	0	NM_021794
ADAM32	2729	26	0.5109184	NM_001313994,NM_145004
ADAM33	4123	1208	15.71214	NM_153202,NM_025220,NM_001282447
ADAM3A	2768	0	0	NR_024107,NR_001569,NR_024106,NR_073423
ADAM3B	940	0	0	NR_144553
ADAM5	1705	0	0	NR_001448
ADAM6	1843	0	0	NR_002224
ADAM7	3396	0	0	NM_003817
ADAM8	3134	7	0.119779	NM_001164490,NM_001109,NM_001164489
ADAM9	3992	9251	124.2739	NR_027638,NR_027639,NM_003816,NR_027878
ADAMDEC1	2229	0	0	NM_001145271,NM_014479,NM_001145272
ADAMTS1	4651	5309	61.21362	NM_006988
ADAMTS10	2460	97	2.114552	NM_030957,NM_001282352
ADAMTS12	1177	1705	77.68365	NM_030955,NM_001324512,NM_001324511
ADAMTS13	4783	62	0.6951411	NM_139025,NR_024514,NM_139026,NM_139027
ADAMTS14	5555	221	2.133487	NM_139155,NM_080722
ADAMTS15	5677	23	0.2172654	NM_139055
ADAMTS16	4846	0	0	NM_139056,NR_136935
ADAMTS17	6358	3	0.02530361	NM_139057
ADAMTS18	5917	0	0	NM_199355,NM_001326358
ADAMTS19	5234	0	0	NM_133638
ADAMTS19-AS1	786	0	0	NR_125748
ADAMTS2	2252	4173	99.37147	NM_014244,NM_021599
ADAMTS20	6126	0	0	NM_025003
ADAMTS3	5822	159	1.464558	NM_014243
ADAMTS4	4349	292	3.600602	NM_001320336,NM_005099
ADAMTS5	9663	851	4.722797	NM_007038
ADAMTS6	7311	596	4.371708	NR_135689,NM_197941
ADAMTS7	5522	630	6.11823	NM_014272
ADAMTS7P1	4983	1	0.01076195	NR_045529,NR_045529
ADAMTS8	4012	2	0.02673319	NM_007037
ADAMTS9	7312	21	0.1540156	NM_001318781,NM_182920
ADAMTS9-AS1	3691	0	0	NR_110150,NR_110151
ADAMTS9-AS2	2228	3	0.0722084	NR_038264
ADAMTSL1	1880	3912	111.5893	NM_001040272,NM_052866
ADAMTSL2	3726	0	0	NM_001145320,NM_014694
ADAMTSL3	7335	10	0.0731108	NM_001301110,NM_207517
ADAMTSL4	4323	251	3.113653	NM_025008,NM_019032,NM_001288607,NM_001288608
ADAMTSL4-AS1	1036	0	0	NR_104133
ADAMTSL5	2857	123	2.308748	NM_213604
ADAP1	2119	19	0.4808441	NM_001284311,NM_001284310,NM_001284308,NM_006869,NM_001284309
ADAP2	2671	5	0.1003871	NR_144488,NM_001346712,NM_018404,NM_001346714,NM_001346716
ADAR	6709	4191	33.49975	NM_001025107,NM_015840,NM_015841,NM_001111,NM_001193495
ADARB1	3468	342	5.288454	NM_001112,NR_027674,NR_027673,NR_073200,NR_027672,NM_001346688,NR_144483,NM_015834,NM_015833,NM_001346687,NM_001160230
ADARB2	8426	0	0	NM_018702
ADARB2-AS1	644	0	0	NR_033387
ADAT1	5788	714	6.615328	NM_001324452,NM_001324451,NM_001324450,NM_001324449,NM_001324448,NM_001324446,NM_001324453,NM_001324444,NM_012091,NM_001324445
ADAT2	6253	150	1.286425	NM_001286259,NM_182503
ADAT3	1784	46	1.382753	NM_001329533,NM_138422
ADCK1	2234	80	1.920386	NM_001142545,NM_020421
ADCK2	2364	272	6.170255	NM_052853
ADCK5	1988	120	3.237029	NM_174922
ADCY1	12498	98	0.4205012	NM_001281768,NM_021116
ADCY10	5469	0	0	NM_001167749,NM_018417,NM_001297772
ADCY10P1	4569	7	0.08215965	NR_026938
ADCY2	6553	23	0.1882216	NM_020546
ADCY3	4729	1448	16.42029	NM_001320613,NM_004036
ADCY4	3415	62	0.9736047	NM_001198568,NM_001198592,NM_139247
ADCY5	5123	20	0.2093569	NM_183357,NM_001199642
ADCY6	6102	882	7.751363	NM_015270
ADCY7	2552	1766	37.11007	NM_001114,NM_001286057
ADCY8	4101	29	0.3792188	NM_001115
ADCY9	7727	1244	8.633585	NM_001116
ADCYAP1	3187	0	0	NM_001117,NM_001099733
ADCYAP1R1	6572	2	0.01631977	NM_001199637,NM_001118,NM_001199635,NM_001199636
ADD1	4756	5275	59.47881	NM_176801,NM_014189,NM_014190,NM_001119,NM_001286645
ADD2	4033	128	1.702015	NM_017482,NM_001185054,NM_017488,NM_001185055,NM_001617
ADD3	4445	1728	20.84748	NM_019903,NM_001320594,NM_001320591,NM_001320593,NM_001121,NM_016824,NM_001320592
ADD3-AS1	1280	0	0	NR_038943
ADGB	5289	0	0	NM_024694
ADGRA1	4184	0	0	NM_001291085,NM_001083909
ADGRA1-AS1	470	0	0	NR_111905
ADGRA2	6034	5527	49.12085	NM_032777
ADGRA3	4567	977	11.47216	NM_145290
ADGRB1	5528	13	0.1261122	NM_001702
ADGRB2	5341	145	1.455885	NM_001294335,NM_001294336
ADGRB3	5637	2	0.01902671	NM_001704
ADGRD1	5389	180	1.791208	NM_001330497,NM_198827
ADGRE1	3145	0	0	NM_001256254,NM_001256255,NM_001256252,NM_001256253,NM_001974
ADGRE2	6008	7	0.06248127	NM_013447,NM_001271052
ADGRE3	2423	0	0	NM_001289158,NM_001289159,NM_032571
ADGRE4P	2732	0	0	NR_024075
ADGRE5	3345	1355	21.72325	NM_078481,NM_001784,NM_001025160
ADGRF1	5468	0	0	NM_025048,NM_153840
ADGRF2	5126	0	0	NM_153839
ADGRF3	4052	4	0.05293857	NM_001145169,NM_001145168,NM_153835,NR_135916,NM_001321971,NM_001321975
ADGRF4	3170	0	0	NM_001347855,NM_153838
ADGRF5	5817	0	0	NM_015234,NM_001098518
ADGRG1	3889	45	0.6205207	NM_001145773,NM_001145772,NM_001145771,NM_001145770,NM_005682,NM_001290142,NM_201525,NM_201524,NM_001145774,NM_001290143,NM_001290144
ADGRG2	4787	5	0.05601293	NM_001079859,NM_001184835,NM_001184834,NM_001184833,NM_005756,NM_001079858,NM_001184837,NM_001184836,NM_001079860
ADGRG3	2670	0	0	NM_001308360,NM_170776
ADGRG4	9931	0	0	NM_153834
ADGRG5	3222	0	0	NM_001304376,NM_153837,NM_001318481
ADGRG6	6831	83	0.6515917	NM_020455,NM_001032394,NM_198569,NM_001032395
ADGRG7	2318	0	0	NM_032787,NM_001308362
ADGRL1	7857	187	1.27634	NM_014921,NM_001008701
ADGRL2	5986	670	6.002329	NM_001330645,NM_001297706,NM_012302,NM_001297705,NM_001297704
ADGRL3	12790	0	0	NM_015236,NM_001322246,NM_001322402
ADGRL3-AS1	467	0	0	NR_110595
ADGRL4	3619	524	7.764695	NM_022159
ADGRV1	19250	0	0	NM_032119,NR_003149
ADH1A	1500	1	0.03575118	NM_000667
ADH1B	2692	0	0	NM_001286650,NM_000668
ADH1C	1758	0	0	NR_133005,NM_000669
ADH4	2004	0	0	NM_001306172,NM_001306171,NM_000670
ADH5	2651	4203	85.022	NM_000671
ADH6	2444	0	0	NM_000672,NM_001102470,NR_132990
ADH7	2102	0	0	NM_000673,NM_001166504
ADHFE1	1895	5	0.1414955	NM_144650
ADI1	1676	1831	58.58629	NM_001306077,NM_018269
ADIG	772	0	0	NR_130907,NM_001018082
ADIPOQ	4578	0	0	NM_001177800,NM_004797
ADIPOQ-AS1	3442	0	0	NR_046662
ADIPOR1	2182	1530	37.60264	NM_001290557,NM_001290629,NM_001290553,NM_015999
ADIPOR2	3965	1397	18.89448	NM_024551
ADIRF	672	37	2.952665	NM_006829
ADK	2280	850	19.99244	NM_001202450,NM_006721,NM_001202449,NM_001123
ADM	1590	3866	130.3906	NM_001124
ADM2	4032	133	1.768939	NM_001253845
ADM5	2112	2	0.05078293	NM_001101340
ADNP	6364	2188	18.43736	NM_001282531,NM_001347511,NM_001282532,NM_181442,NM_015339
ADNP2	5387	545	5.425393	NM_014913
ADNP-AS1	927	11	0.6363479	NR_110009,NR_110007,NR_110008
ADO	3724	772	11.11704	NM_032804
ADORA1	2919	54	0.9920678	NM_001048230,NM_000674
ADORA2A	2634	18	0.36647	NR_103544,NR_103543,NM_001278497,NM_001278499,NM_000675,NM_001278500,NM_001278498
ADORA2A-AS1	2026	0	0	NR_028484,NR_028483
ADORA2B	1885	101	2.873371	NM_000676
ADORA3	2245	0	0	NM_001302679,NM_001302678,NM_000677
ADPGK	2273	1259	29.70352	NM_031284,NR_023318,NR_023319
ADPGK-AS1	2730	45	0.8839579	NR_040107
ADPRH	3682	78	1.136037	NM_001291949,NM_001291950,NM_001125
ADPRHL1	1877	37	1.057107	NM_138430,NM_199162
ADPRHL2	1691	515	16.33222	NM_017825
ADPRM	1518	95	3.356089	NM_020233
