Gene name	max length	read count	rpkm	IDs
ABCC5-AS1	469	0	0	NR_046570
ABCC6	5117	21	0.08062089	NM_001079528,NM_001171
ABCC6P1	2724	1	0.007211683	NR_003569
ABCC6P2	706	3	0.08347574	NR_023387
ABCC8	4921	0	0	NM_001287174,NM_000352
ABCC9	4670	2544	10.70148	NM_020297,NM_005691
ABCD1	3664	979	5.248932	NM_000033
ABCD2	5341	2	0.007356159	NM_005164
ABCD3	967	1005	20.4166	NM_002858,NM_001122674
ABCD4	3157	1385	8.618246	NR_003256,NM_005050
ABCE1	4191	1715	8.038781	NM_002940,NM_001040876
ABCF1	3350	3723	21.83192	NM_001025091,NM_001025091,NM_001025091,NM_001090,NM_001090,NM_001090,NM_001090,NM_001025091,NM_001025091,NM_001090,NM_001025091,NM_001090,NM_001025091,NM_001090
ABCF2	4696	2633	11.01454	NM_005692,NM_007189
ABCF3	2572	1902	14.52725	NM_018358
ABCG1	3037	173	1.119038	NM_004915,NM_207627,NM_207174,NM_207629,NM_016818,NM_207628
ABCG2	4580	9	0.03860297	NM_004827,NM_001348989,NM_001348988,NM_001348987,NM_001348986,NM_001348985,NM_001257386
ABCG4	3611	5	0.02720109	NM_022169,NM_001348192,NM_001348191,NM_001142505
ABCG5	2740	0	0	NM_022436
ABCG8	2665	2	0.01474268	NM_022437
ABHD1	1446	5	0.06792747	NM_032604
ABHD10	2570	698	5.335388	NM_001272069,NM_018394,NR_073571,NR_073570
ABHD11	1421	466	6.44222	NM_001301058,NM_001321382,NM_148913,NM_001145364,NR_026912,NM_148912,NM_001321383,NR_135627
ABHD11-AS1	473	9	0.3737878	NR_026690
ABHD12	1724	4308	49.08877	NM_001042472,NM_015600
ABHD12B	1580	7	0.08703315	NM_181814,NM_001206673,NM_181533
ABHD13	5302	636	2.356466	NM_032859
ABHD14A	1108	718	12.73	NM_015407
ABHD14A-ACY1	1879	870	9.095701	NM_001316331
ABHD14B	2437	2377	19.16096	NM_001146314,NM_001254753,NM_032750
ABHD15	3355	980	5.738221	NM_198147
ABHD16A	2270	1709	14.78972	NM_001177515,NM_021160,NR_033488,NM_001177515,NR_033488,NM_021160,NM_021160,NM_021160,NM_001177515,NM_001177515,NR_033488,NM_001177515,NM_001177515,NM_001177515,NM_021160,NR_033489,NR_033489,NM_021160,NM_021160,NR_033489,NR_033489,NR_033489,NR_033489,NR_033489,NR_033488,NR_033488,NR_033488,NR_033488
ABHD16B	1776	408	4.512954	NM_080622
ABHD17A	1563	5491	69.01384	NM_031213,NM_001130111
ABHD17B	3117	453	2.854994	NM_016014,NM_001025780
ABHD17C	2360	1169	9.730748	NM_021214
ABHD18	5560	211	0.7455064	NM_001319307,NM_001319305,NM_001319306
ABHD2	8735	10050	22.602	NM_007011,NM_152924
ABHD3	2064	326	3.102785	NM_001308257,NM_001308256,NM_138340
ABHD4	2509	4493	35.17868	NM_022060
ABHD5	5353	896	3.288172	NM_016006
ABHD6	2490	450	3.550233	NM_020676,NM_001320126
ABHD8	2090	1374	12.9147	NM_024527
ABI1	3725	3703	19.5286	NM_001012751,NM_001178125,NM_001178121,NM_001012752,NM_001348034,NM_001348033,NR_145410,NM_001178120,NM_001348032,NM_001348031,NM_001348030,NM_001348029,NM_001178122,NM_001178124,NM_001178119,NM_001178123,NM_001012750,NM_001178116,NM_005470
ABI2	6621	1529	4.53657	NM_001282925,NM_001282927,NM_001282932,NM_005759,NM_001282926
ABI3	2091	3	0.02818454	NM_016428,NM_001135186
ABI3BP	6414	7276	22.28473	NM_015429,NM_001349332,NM_001349331,NM_001349330,NM_001349329
ABL1	5577	15015	52.88937	NM_007313,NM_005157
ABL2	11918	10147	16.72546	NM_001136000,NM_001168238,NM_005158,NM_001136001,NM_001168239,NM_001168236,NM_007314,NM_001168237
ABLIM1	6635	1596	4.725368	NM_006720,NM_001322883,NM_001322882,NM_001322884,NM_001322885,NM_001322886,NM_001322887,NM_001322888,NM_001322889,NM_001003408,NM_001322891,NM_001322892,NM_001322893,NM_001322894,NM_002313,NM_001322895,NM_001322896,NM_001322890,NM_001322897,NM_001003407,NM_001322900,NM_001322898,NM_001322899
ABLIM2	3389	0	0	NM_001286688,NM_001130083,NM_001130088,NM_001130084,NM_001130087,NM_001130085,NM_001130086,NM_032432
ABLIM3	4450	4277	18.88091	NM_014945,NM_001345860,NM_001345859,NM_001301027,NM_001345858,NM_001301018,NM_001301028,NM_001301015,NM_001345861
ABO	1579	0	0	NM_020469
ABR	5604	10687	37.4629	NM_021962,NM_001256847,NM_001322842,NM_001322841,NM_001092,NM_001282149,NM_001322840,NM_001159746
ABRA	2754	1	0.007133124	NM_139166
ABRACL	845	716	16.64562	NM_021243
ABT1	2263	816	7.083523	NM_013375
ABTB1	1941	1699	17.19537	NM_032548,NM_172027,NR_033429
ABTB2	4903	944	3.782281	NM_145804
ACAA1	1540	2618	33.39586	NM_001607,NR_024024,NM_001130410
ACAA2	1934	1960	19.90872	NM_006111
ACACA	9737	3846	7.759395	NM_198834,NM_198839,NM_198837,NM_198836,NM_198838
ACACB	9249	450	0.9557877	NM_001093
ACAD10	4107	1144	5.471987	NM_025247,NM_001136538
ACAD11	4166	1941	9.152716	NR_132428,NM_032169,NR_132427,NR_132426
ACAD8	2201	654	5.837158	NM_014384
ACAD9	2575	1801	13.73979	NR_033426,NM_014049
ACADL	2490	0	0	NM_001608
ACADM	2622	945	7.080156	NM_001127328,NM_001286042,NM_001286043,NM_001286044,NM_000016
ACADS	1935	841	8.538051	NM_000017,NM_001302554
ACADSB	5941	642	2.122849	NM_001330174,NM_001609
ACADVL	2228	15028	132.5042	NM_001033859,NM_001270448,NM_000018,NM_001270447
ACAN	8543	14641	33.66697	NM_013227,NM_001135
ACAP1	2508	48	0.3759737	NM_014716
ACAP2	7170	1851	5.071436	NM_012287
ACAP3	3759	2952	15.42722	NM_030649
ACAT1	2134	3731	34.34587	NM_000019
ACAT2	1551	1680	21.27851	NM_001303253,NM_005891
ACBD3	3565	3114	17.15943	NM_022735
ACBD4	2722	760	5.484906	NM_024722,NM_001135705,NM_001135706,NM_001321352,NM_001321353,NM_001135707
ACBD5	4174	873	4.10871	NM_001042473,NM_001301254,NM_001301253,NM_001301252,NM_001301251,NM_145698,NM_001271512
ACBD6	1616	1743	21.18848	NM_032360
ACBD7	3370	60	0.3497559	NM_001039844
ACBD7-DCLRE1CP1	997	0	0	NR_144471
ACCS	1877	458	4.793414	NM_032592,NM_001127219
ACCSL	1820	0	0	NM_001031854
ACD	2057	811	7.745158	NM_001082486,NM_001082487,NM_022914
ACE	3264	3916	23.56873	NM_000789,NM_001178057,NM_152830
ACE2	3507	1	0.005601547	NM_021804
ACER1	1088	1	0.01805572	NM_133492
ACER2	2852	112	0.7714579	NM_001010887
ACER3	7378	543	1.445789	NM_001300953,NM_001300954,NM_001300955,NM_018367
ACHE	1991	14	0.138134	NM_000665,NM_015831,NM_001302622,NM_001302621,NM_001282449
ACIN1	4898	9013	36.14883	NM_014977,NM_001164815,NM_001164816,NM_001164817,NM_001164814
ACKR1	1242	0	0	NM_002036,NM_001122951
ACKR2	2960	12	0.07964037	NM_001296
ACKR3	2100	12615	118.0081	NM_020311
ACKR4	2340	28797	241.7548	NM_178445,NM_016557
ACLY	4353	11703	52.81439	NM_198830,NM_001303275,NM_001303274,NM_001096
ACMSD	1250	0	0	NM_001307983,NM_138326
ACO1	3620	4468	24.24646	NM_002197,NM_001278352
ACO2	2741	4251	30.46673	NM_001098
ACOD1	2090	0	0	NM_001258406
ACOT1	1603	299	3.664219	NM_001037161
ACOT11	3181	69	0.4261173	NM_015547,NM_147161
ACOT12	1989	0	0	NM_130767
ACOT13	4104	1285	6.150912	NM_001160094,NM_018473
ACOT2	1583	1274	15.81001	NM_006821,NR_046028
ACOT4	1632	69	0.8305631	NM_152331
ACOT6	1004	0	0	NM_001037162
ACOT7	1414	1945	27.02178	NM_181864,NM_007274,NM_181865,NM_181866
ACOT8	1171	625	10.48496	NM_005469
ACOT9	4202	1818	8.499269	NM_001033583,NM_001037171,NM_001330259
ACOX1	7758	1501	3.800797	NM_004035,NM_007292,NM_001185039
ACOX2	2309	1255	10.67735	NM_003500
ACOX3	2874	635	4.340409	NM_001101667,NM_003501
ACOXL	2373	20	0.1655678	NM_001142807
ACOXL-AS1	3212	5	0.03058005	NR_122074
ACP1	1580	2120	26.35861	NM_007099,NM_001040649,NM_004300,NR_024080
ACP2	2116	1780	16.52525	NM_001610,NM_001302492,NM_001302491,NM_001302490,NM_001302489
ACP5	1580	8	0.09946645	NM_001611,NM_001322023,NM_001111034,NM_001111035,NM_001111036
ACP6	2793	226	1.589576	NR_136633,NM_016361,NR_136635,NM_001323625,NR_136634,NR_136636
ACP7	2961	17	0.1127857	NM_001004318
ACPP	3120	3	0.01888906	NM_001134194,NM_001099,NM_001292037
ACPT	1347	0	0	NM_033068
ACR	1370	2	0.02867828	NM_001097
ACRBP	1886	37	0.3853929	NM_032489
ACRV1	1175	1	0.01671883	NM_020107,NM_020108,NM_020069,NM_001612
ACSBG1	2980	21	0.1384353	NM_001199377,NM_015162
ACSBG2	2696	4	0.02914633	NM_001321384,NM_001289178,NM_030924,NM_001289177,NM_001289180,NM_001289179
ACSF2	1920	545	5.576209	NM_001288972,NM_025149,NR_110232,NM_001288968,NM_001288969,NM_001288970,NM_001288971
ACSF3	2496	736	5.792645	NM_001127214,NM_001284316,NM_174917,NM_001243279,NR_104293,NR_045667
ACSL1	3858	1763	8.977054	NM_001286712,NM_001286708,NM_001286711,NM_001286710,NM_001995
ACSL3	4361	5688	25.62225	NM_203372,NM_004457
ACSL4	5333	3460	12.74525	NM_004458,NM_001318510,NM_022977,NM_001318509
ACSL5	3381	151	0.8773553	NM_203379,NM_016234,NM_203380
ACSL6	6525	2	0.006021341	NM_001205250,NM_015256,NM_001205251,NM_001009185,NM_001205247,NM_001205248
ACSM1	2051	0	0	NR_134918,NM_001318890,NM_052956
ACSM2A	3336	0	0	NM_001308172,NM_001308169,NM_001308954
ACSM2B	2406	0	0	NM_182617,NM_001105069
ACSM3	1569	29	0.3630938	NM_005622,NM_202000
ACSM4	1743	0	0	NM_001080454
ACSM5	2419	0	0	NM_001324371,NM_001324373,NM_001324372,NM_017888
ACSM6	1713	0	0	NM_207321
ACSS1	2438	478	3.851571	NM_032501,NM_001252675,NM_001252676,NM_001252677
ACSS2	3018	2350	15.29651	NM_018677,NM_001242393,NM_001076552
ACSS3	4051	390	1.891238	NM_001330242,NM_024560,NM_001330243
ACTA1	1492	4	0.05266655	NM_001100
ACTA2	1399	4663	65.4774	NM_001320855,NM_001141945,NM_001613
ACTA2-AS1	2043	133	1.278872	NR_125373
ACTB	1812	139677	1514.295	NM_001101
ACTBL2	2794	0	0	NM_001017992
ACTC1	3693	237	1.260703	NM_005159
ACTG1	1986	110578	1093.788	NR_037688,NM_001199954,NM_001614
ACTG1P17	1652	10	0.1189142	NR_036446
ACTG1P20	2652	22	0.1629644	NR_033926
ACTG1P4	1983	6	0.0594391	NR_024438
ACTG2	1202	1	0.01634328	NM_001615,NM_001199893
ACTL10	2028	73	0.7071289	NM_001024675
ACTL6A	1898	1588	16.43607	NM_177989,NM_178042,NM_004301
ACTL6B	1548	0	0	NM_016188,NR_134539
ACTL7A	1528	1	0.01285643	NM_006687
ACTL7B	1407	0	0	NM_006686
ACTL8	1861	2	0.0211119	NM_030812
ACTL9	1434	0	0	NM_178525
ACTN1	3710	21096	111.7043	NM_001102,NM_001130004,NM_001130005
ACTN1-AS1	599	1	0.0327957	NR_073422
ACTN2	4913	1	0.003998499	NM_001278344,NM_001278343,NM_001103
ACTN3	2939	3	0.02005235	NR_047663,NM_001258371,NM_001104
ACTN4	3951	19852	98.70541	NM_004924,NM_001322033
ACTR10	2441	2756	22.17967	NM_018477
ACTR1A	2873	7757	53.0398	NM_005736
ACTR1B	2258	2150	18.70502	NM_005735
ACTR2	3922	7571	37.92184	NM_001005386,NM_005722
ACTR3	5491	15685	56.11472	NM_005721,NR_102318,NM_001277140
ACTR3B	2161	142	1.290855	NR_073001,NM_020445,NM_001040135,NR_073000
ACTR3BP2	1338	0	0	NR_027714
ACTR3BP5	1645	0	0	NR_045000
ACTR3C	1219	1	0.01611536	NM_001164458,NM_001164459
ACTR5	2479	274	2.17129	NM_024855
ACTR6	2465	413	3.291371	NR_048569,NR_048568,NM_022496
ACTR8	3628	765	4.142265	NM_022899
ACTRT1	1442	0	0	NM_138289
ACTRT2	1422	0	0	NM_080431
ACTRT3	2003	247	2.422477	NM_032487
ACVR1	2864	3572	24.50091	NM_001347663,NM_001347664,NM_001347665,NM_001347666,NM_001347667,NM_001105,NM_001111067
ACVR1B	4516	1172	5.098206	NM_004302,NM_020328,NM_020327
ACVR1C	8405	47	0.109851	NM_001111032,NM_145259,NM_001111031,NM_001111033
ACVR2A	5167	467	1.775506	NM_001616,NM_001278579,NM_001278580
ACVR2B	11373	83	0.1433662	NM_001106
ACVR2B-AS1	2517	8	0.06243822	NR_028389
ACVRL1	4126	673	3.204273	NM_000020,NM_001077401
ACY1	1678	752	8.803788	NM_001198898,NM_001198897,NM_001198895,NM_001198896,NM_000666
ACY3	1300	0	0	NM_080658
ACYP1	801	170	4.169271	NR_126393,NM_001107,NR_126395,NM_001302616,NR_126394,NM_001302617
ACYP2	1292	445	6.766144	NM_138448,NM_001320586,NM_001320587,NM_001320588,NM_001320590,NM_001320589
ADA	1486	553	7.31055	NM_001322050,NM_000022,NR_136160,NM_001322051
ADA2	3711	146	0.7728685	NM_001282229,NM_001282228,NM_001282225,NM_001282226,NM_001282227,NM_177405
ADAD1	1905	0	0	NM_139243,NM_001159295,NM_001159285
ADAD2	2058	0	0	NM_139174,NM_001145400
ADAL	1749	288	3.234792	NM_001159280,NM_001012969,NM_001324368,NM_001324367,NM_001324366,NM_001324365,NM_001324364
ADAM10	4941	8269	32.87622	NM_001110,NM_001320570
ADAM11	4419	27	0.1200282	NM_002390,NM_001318933
ADAM12	3411	9207	53.02494	NM_003474,NM_021641,NM_001288973,NM_001288974,NM_001288975
ADAM15	2864	8748	60.0039	NM_001261465,NR_048578,NR_048579,NM_207197,NM_001261466,NM_003815,NM_207196,NM_207195,NM_207194,NR_048577,NM_207191,NM_001261464
ADAM17	4381	2074	9.29992	NM_003183
ADAM18	2037	0	0	NM_001190956,NM_014237,NM_001320313,NR_135201
ADAM19	6529	466	1.402113	NM_033274
ADAM1A	2840	32	0.2213479	NR_036636
ADAM2	2671	0	0	NM_001278113,NM_001278114,NM_001464
ADAM20	2792	10	0.0703604	NM_003814
ADAM20P1	3036	16	0.103529	NR_037933
ADAM21	2664	22	0.1622304	NM_003813
ADAM21P1	2049	0	0	NR_003951
ADAM22	9334	101	0.2125677	NM_001324420,NM_001324419,NM_001324418,NM_001324417,NM_004194,NM_021721,NM_021722,NM_001324421,NM_021723,NM_016351
ADAM23	6225	2401	7.576987	NM_003812
ADAM28	2135	1	0.009201229	NM_014265,NR_130710,NR_130709,NM_001304351,NM_021777
ADAM29	3138	0	0	NM_001278125,NM_014269,NM_001278126,NM_001278127,NM_001130703,NM_001130704,NM_001130705
ADAM30	2992	0	0	NM_021794
ADAM32	2729	62	0.4463051	NM_001313994,NM_145004
ADAM33	4123	17469	83.23355	NM_153202,NM_025220,NM_001282447
ADAM3A	2768	0	0	NR_024107,NR_001569,NR_024106,NR_073423
ADAM3B	940	0	0	NR_144553
ADAM5	1705	0	0	NR_001448
ADAM6	1843	0	0	NR_002224
ADAM7	3396	0	0	NM_003817
ADAM8	3134	43	0.2695338	NM_001164490,NM_001109,NM_001164489
ADAM9	3992	10799	53.14186	NR_027638,NR_027639,NM_003816,NR_027878
ADAMDEC1	2229	0	0	NM_001145271,NM_014479,NM_001145272
ADAMTS1	4651	10724	45.29541	NM_006988
ADAMTS10	2460	1511	12.06627	NM_030957,NM_001282352
ADAMTS12	1177	839	14.00326	NM_030955,NM_001324512,NM_001324511
ADAMTS13	4783	424	1.741443	NM_139025,NR_024514,NM_139026,NM_139027
ADAMTS14	5555	2543	8.99303	NM_139155,NM_080722
ADAMTS15	5677	1140	3.944843	NM_139055
ADAMTS16	4846	2	0.008107563	NM_139056,NR_136935
ADAMTS17	6358	30	0.09269247	NM_139057
ADAMTS18	5917	0	0	NM_199355,NM_001326358
ADAMTS19	5234	76	0.2852486	NM_133638
ADAMTS19-AS1	786	3	0.07497948	NR_125748
ADAMTS2	2252	9433	82.28585	NM_014244,NM_021599
ADAMTS20	6126	0	0	NM_025003
ADAMTS3	5822	316	1.066249	NM_014243
ADAMTS4	4349	1818	8.211986	NM_001320336,NM_005099
ADAMTS5	9663	1647	3.348308	NM_007038
ADAMTS6	7311	335	0.9001435	NR_135689,NM_197941
ADAMTS7	5522	2962	10.53737	NM_014272
ADAMTS7P1	4983	78	0.3075016	NR_045529,NR_045529
ADAMTS8	4012	539	2.639195	NM_007037
ADAMTS9	7312	43	0.115525	NM_001318781,NM_182920
ADAMTS9-AS1	3691	0	0	NR_110150,NR_110151
ADAMTS9-AS2	2228	10	0.08817156	NR_038264
ADAMTSL1	1880	9558	99.87411	NM_001040272,NM_052866
ADAMTSL2	3726	313	1.650233	NM_001145320,NM_014694
ADAMTSL3	7335	536	1.435517	NM_001301110,NM_207517
ADAMTSL4	4323	9030	41.03423	NM_025008,NM_019032,NM_001288607,NM_001288608
ADAMTSL4-AS1	1036	6	0.113772	NR_104133
ADAMTSL5	2857	523	3.596128	NM_213604
ADAP1	2119	87	0.8065513	NM_001284311,NM_001284310,NM_001284308,NM_006869,NM_001284309
ADAP2	2671	38	0.2794817	NR_144488,NM_001346712,NM_018404,NM_001346714,NM_001346716
ADAR	6709	7176	21.01205	NM_001025107,NM_015840,NM_015841,NM_001111,NM_001193495
ADARB1	3468	1577	8.93298	NM_001112,NR_027674,NR_027673,NR_073200,NR_027672,NM_001346688,NR_144483,NM_015834,NM_015833,NM_001346687,NM_001160230
ADARB2	8426	0	0	NM_018702
ADARB2-AS1	644	0	0	NR_033387
ADAT1	5788	984	3.339722	NM_001324452,NM_001324451,NM_001324450,NM_001324449,NM_001324448,NM_001324446,NM_001324453,NM_001324444,NM_012091,NM_001324445
ADAT2	6253	195	0.6126182	NM_001286259,NM_182503
ADAT3	1784	250	2.75289	NM_001329533,NM_138422
ADCK1	2234	278	2.444586	NM_001142545,NM_020421
ADCK2	2364	887	7.370889	NM_052853
ADCK5	1988	427	4.219444	NM_174922
ADCY1	12498	89	0.1398921	NM_001281768,NM_021116
ADCY10	5469	8	0.02873597	NM_001167749,NM_018417,NM_001297772
ADCY10P1	4569	11	0.047295	NR_026938
ADCY2	6553	79	0.2368267	NM_020546
ADCY3	4729	2975	12.35838	NM_001320613,NM_004036
ADCY4	3415	447	2.571346	NM_001198568,NM_001198592,NM_139247
ADCY5	5123	85	0.3259405	NM_183357,NM_001199642
ADCY6	6102	2599	8.367155	NM_015270
ADCY7	2552	2070	15.93431	NM_001114,NM_001286057
ADCY8	4101	315	1.508914	NM_001115
ADCY9	7727	3440	8.745633	NM_001116
ADCYAP1	3187	3	0.01849196	NM_001117,NM_001099733
ADCYAP1R1	6572	1	0.002989139	NM_001199637,NM_001118,NM_001199635,NM_001199636
ADD1	4756	13367	55.2123	NM_176801,NM_014189,NM_014190,NM_001119,NM_001286645
ADD2	4033	63	0.3068711	NM_017482,NM_001185054,NM_017488,NM_001185055,NM_001617
ADD3	4445	6840	30.2293	NM_019903,NM_001320594,NM_001320591,NM_001320593,NM_001121,NM_016824,NM_001320592
ADD3-AS1	1280	18	0.2762525	NR_038943
ADGB	5289	0	0	NM_024694
ADGRA1	4184	0	0	NM_001291085,NM_001083909
ADGRA1-AS1	470	0	0	NR_111905
ADGRA2	6034	20173	65.67633	NM_032777
ADGRA3	4567	1217	5.234838	NM_145290
ADGRB1	5528	17	0.06041219	NM_001702
ADGRB2	5341	559	2.056046	NM_001294335,NM_001294336
ADGRB3	5637	0	0	NM_001704
ADGRD1	5389	1113	4.05724	NM_001330497,NM_198827
ADGRE1	3145	0	0	NM_001256254,NM_001256255,NM_001256252,NM_001256253,NM_001974
ADGRE2	6008	13	0.04250668	NM_013447,NM_001271052
ADGRE3	2423	0	0	NM_001289158,NM_001289159,NM_032571
ADGRE4P	2732	3	0.0215717	NR_024075
ADGRE5	3345	4253	24.97716	NM_078481,NM_001784,NM_001025160
ADGRF1	5468	0	0	NM_025048,NM_153840
ADGRF2	5126	0	0	NM_153839
ADGRF3	4052	15	0.07272196	NM_001145169,NM_001145168,NM_153835,NR_135916,NM_001321971,NM_001321975
ADGRF4	3170	1	0.006197042	NM_001347855,NM_153838
ADGRF5	5817	0	0	NM_015234,NM_001098518
ADGRG1	3889	209	1.055728	NM_001145773,NM_001145772,NM_001145771,NM_001145770,NM_005682,NM_001290142,NM_201525,NM_201524,NM_001145774,NM_001290143,NM_001290144
ADGRG2	4787	47	0.192876	NM_001079859,NM_001184835,NM_001184834,NM_001184833,NM_005756,NM_001079858,NM_001184837,NM_001184836,NM_001079860
ADGRG3	2670	0	0	NM_001308360,NM_170776
ADGRG4	9931	6	0.01186867	NM_153834
ADGRG5	3222	0	0	NM_001304376,NM_153837,NM_001318481
ADGRG6	6831	23	0.06614351	NM_020455,NM_001032394,NM_198569,NM_001032395
ADGRG7	2318	0	0	NM_032787,NM_001308362
ADGRL1	7857	905	2.262745	NM_014921,NM_001008701
ADGRL2	5986	2212	7.259256	NM_001330645,NM_001297706,NM_012302,NM_001297705,NM_001297704
ADGRL3	12790	2	0.003071873	NM_015236,NM_001322246,NM_001322402
ADGRL3-AS1	467	0	0	NR_110595
ADGRL4	3619	867	4.706242	NM_022159
ADGRV1	19250	4	0.004082	NM_032119,NR_003149
ADH1A	1500	2	0.02619283	NM_000667
ADH1B	2692	6512	47.52073	NM_001286650,NM_000668
ADH1C	1758	31	0.3464069	NR_133005,NM_000669
ADH4	2004	1	0.009802707	NM_001306172,NM_001306171,NM_000670
ADH5	2651	10478	77.64481	NM_000671
ADH6	2444	7	0.05626529	NM_000672,NM_001102470,NR_132990
ADH7	2102	174	1.626149	NM_000673,NM_001166504
ADHFE1	1895	171	1.772681	NM_144650
ADI1	1676	3331	39.04311	NM_001306077,NM_018269
ADIG	772	0	0	NR_130907,NM_001018082
ADIPOQ	4578	0	0	NM_001177800,NM_004797
ADIPOQ-AS1	3442	0	0	NR_046662
ADIPOR1	2182	4387	39.49632	NM_001290557,NM_001290629,NM_001290553,NM_015999
ADIPOR2	3965	2681	13.28304	NM_024551
ADIRF	672	17813	520.7287	NM_006829
ADK	2280	1584	13.64784	NM_001202450,NM_006721,NM_001202449,NM_001123
ADM	1590	14281	176.4433	NM_001124
ADM2	4032	603	2.937924	NM_001253845
ADM5	2112	10	0.09301431	NM_001101340
ADNP	6364	2629	8.115292	NM_001282531,NM_001347511,NM_001282532,NM_181442,NM_015339
ADNP2	5387	769	2.804291	NM_014913
ADNP-AS1	927	57	1.207922	NR_110009,NR_110007,NR_110008
ADO	3724	1244	6.562275	NM_032804
ADORA1	2919	600	4.03795	NM_001048230,NM_000674
ADORA2A	2634	81	0.6041058	NR_103544,NR_103543,NM_001278497,NM_001278499,NM_000675,NM_001278500,NM_001278498
ADORA2A-AS1	2026	6	0.05817756	NR_028484,NR_028483
ADORA2B	1885	225	2.344849	NM_000676
ADORA3	2245	0	0	NM_001302679,NM_001302678,NM_000677
